date,bullish,neutral,bearish
2013-09-19,0.451128,0.25188,0.296992
2013-09-26,0.360544,0.333333,0.306122
2013-10-03,0.378378,0.320946,0.300676
2013-10-10,0.413284,0.250923,0.335793
2013-10-17,0.462783,0.288026,0.249191
2013-10-24,0.492013,0.332268,0.175719
2013-10-31,0.449664,0.33557,0.214765
2013-11-07,0.454829,0.327103,0.218069
2013-11-14,0.391975,0.333333,0.274691
2013-11-21,0.343931,0.361272,0.294798
2013-11-28,0.473016,0.244444,0.28254
2013-12-05,0.426415,0.298113,0.275472
2013-12-12,0.412651,0.337349,0.25
2013-12-19,0.474576,0.274576,0.250847
2013-12-26,0.550562,0.264045,0.185393
2014-01-02,0.430894,0.276423,0.292683
2014-01-09,0.43617,0.31383,0.25
2014-01-16,0.38992,0.395225,0.214854
2014-01-23,0.381201,0.381201,0.237598
2014-01-30,0.321839,0.350575,0.327586
2014-02-06,0.27896,0.356974,0.364066
2014-02-13,0.401478,0.325123,0.273399
2014-02-20,0.422,0.35,0.228
2014-02-27,0.396907,0.391753,0.21134
2014-03-06,0.405099,0.328612,0.266289
2014-03-13,0.413408,0.318436,0.268156
2014-03-20,0.367816,0.37069,0.261494
2014-03-27,0.311615,0.402266,0.286119
2014-04-03,0.353571,0.378571,0.267857
2014-04-10,0.284768,0.374172,0.34106
2014-04-17,0.272171,0.385321,0.342508
2014-04-24,0.345029,0.394737,0.260234
2014-05-01,0.297735,0.407767,0.294498
2014-05-08,0.283439,0.429936,0.286624
2014-05-15,0.33121,0.442675,0.226115
2014-05-22,0.304348,0.431677,0.263975
2014-05-29,0.364641,0.403315,0.232044
2014-06-05,0.395062,0.382716,0.222222
2014-06-12,0.446875,0.340625,0.2125
2014-06-19,0.351744,0.406977,0.241279
2014-06-26,0.372208,0.416873,0.210918
2014-07-03,0.385075,0.391045,0.223881
2014-07-10,0.376404,0.337079,0.286517
2014-07-17,0.323625,0.391586,0.28479
2014-07-24,0.296296,0.404321,0.299383
2014-07-31,0.311224,0.377551,0.311224
2014-08-07,0.308869,0.308869,0.382263
2014-08-14,0.398119,0.332288,0.269592
2014-08-21,0.461078,0.302395,0.236527
2014-08-28,0.519231,0.288462,0.192308
2014-09-04,0.446746,0.313609,0.239645
2014-09-11,0.403846,0.330128,0.266026
2014-09-18,0.42236,0.347826,0.229814
2014-09-25,0.418367,0.29932,0.282313
2014-10-02,0.354167,0.336806,0.309028
2014-10-09,0.398773,0.291411,0.309816
2014-10-16,0.42663,0.236413,0.336957
2014-10-23,0.496875,0.278125,0.225
2014-10-30,0.493711,0.295597,0.210692
2014-11-06,0.526882,0.322581,0.150538
