Variable,Dimensión,Media,Mediana,Std,Min,Max,Skewness,Kurtosis
GLD_log_ret,ETF,0.001999088012234913,0.0028588350321008,0.023309633372826873,-0.0967313756937175,0.129320020998696,-0.17065715661039887,2.2182486891794575
GLD_vol_4w,ETF,0.020334351035179447,0.0181544501880867,0.01177587849615328,0.0012840569905253,0.0827565529350516,1.6316689382677536,4.400144678010966
GLD_vol_12w,ETF,0.021606889650712294,0.0198877691092743,0.008819003891480095,0.0067248915263468,0.0610568921747788,1.5925746099517875,3.3669894266712195
GLD_mom_4w,ETF,0.007946938616088159,0.00696032854412,0.045370223497557635,-0.1931477250406636,0.14595068320826,-0.19373525496766875,0.8795084964017246
GLD_mom_12w,ETF,0.0229883605298423,0.020741276593348,0.07583382086412851,-0.2491478626233441,0.235403799992856,0.07243079894054934,0.05461986308802702
GLD_drawdown,ETF,-0.16462437729073298,-0.120643596074634,0.13950019353247728,-0.4474459890595386,0.0,-0.40927131550046925,-1.3779859957677123
IWM_log_ret,ETF,0.0014660095770800106,0.0034900349301457,0.03281632239795742,-0.1895218659946958,0.167686358392898,-0.5264066062160985,4.553924890873874
IWM_vol_4w,ETF,0.027278882702042668,0.0233745565404631,0.018617939777993496,0.0010250633665064,0.1546064718740225,2.3176483619766244,8.786943639067577
IWM_vol_12w,ETF,0.029315803692060268,0.0256836381390339,0.015318673914755004,0.0091404397445462,0.1070326170436383,2.329770372699807,7.539434184323453
IWM_mom_4w,ETF,0.00595410359218514,0.012359296016629,0.06442058608337728,-0.4995193016105748,0.2627751927029826,-1.5645123403482293,8.883475765456069
IWM_mom_12w,ETF,0.017500960040241847,0.0285727867393425,0.10493635207654156,-0.5954391520512619,0.3576270745726911,-1.2186684958120302,4.465142207300934
IWM_drawdown,ETF,-0.10967290446224959,-0.0778091940032937,0.10995928356236154,-0.5766582061862654,0.0,-1.2910475356771092,1.5193628848943348
LQD_log_ret,ETF,0.000787938501399732,0.0016634470699225,0.012559222950136693,-0.1421949652084312,0.137143670254375,-0.8331818186799105,37.969418218379715
LQD_vol_4w,ETF,0.0088676487081521,0.0070870074529325,0.009068668093225572,0.0005946448991469,0.1233020446319796,7.581659540454002,81.5118755030344
LQD_vol_12w,ETF,0.009679438676375494,0.0077298362800447,0.00815975935944959,0.0027488636722147,0.0707975977952931,5.068535951245248,31.609165868190672
LQD_mom_4w,ETF,0.0031185686966711166,0.0042430857755037,0.02433060648423155,-0.2078666555488653,0.2039503041612983,-0.8884755223272526,17.195988806790755
LQD_mom_12w,ETF,0.00941942803926605,0.0122447401240095,0.039392896076839906,-0.1801191716538879,0.2224143378202316,-0.22524133666869053,4.3496003804023005
LQD_drawdown,ETF,-0.04364494047077988,-0.0227063924123474,0.0539928035815213,-0.246808114474908,0.0,-1.5678699500673619,1.5730026061536284
QQQ_log_ret,ETF,0.0028129715320264087,0.0043586956640005,0.02827655046329484,-0.1442500122204322,0.1084390375798078,-0.4811092284612854,2.415974235717112
QQQ_vol_4w,ETF,0.02402812321910999,0.0204419704251761,0.015223165961704775,0.0012991856178965,0.1146079297338171,1.6147267785149497,3.7884894388373036
QQQ_vol_12w,ETF,0.025838775714552547,0.0238460524003304,0.011907230075478165,0.00776035157872,0.0814529262920938,1.4624792621234213,3.1432693121406343
QQQ_mom_4w,ETF,0.011360676993275436,0.0187038088681982,0.055507413412607426,-0.3307919159694976,0.2342070489551701,-1.1601211806451677,4.8945394098689246
QQQ_mom_12w,ETF,0.03397531956738524,0.0471791802666247,0.09303158040533013,-0.5470334603977374,0.3255443713992103,-1.4722187420354569,5.507091773242981
QQQ_drawdown,ETF,-0.07562034007372806,-0.029680797719497,0.10497583887331978,-0.5144716513189518,0.0,-1.9163075263678668,3.3984561396836996
SPY_log_ret,ETF,0.0019438888581148808,0.0035776606070051,0.02552460610406391,-0.2205644987269921,0.1248010444486761,-1.035466512512317,9.579518462106808
SPY_vol_4w,ETF,0.020452340560692502,0.0160482999084626,0.015938689051539116,0.0017796112253991,0.1450567561595619,2.784334565683587,12.277928885181193
SPY_vol_12w,ETF,0.02202270466174261,0.01871448636184,0.013474568819039362,0.0051738307895812,0.0947972125003526,2.410095930205881,7.95109458889181
SPY_mom_4w,ETF,0.007865158042995252,0.0158488846014226,0.048612846064605794,-0.3708718175390949,0.2253786648293627,-1.8730893111855211,11.575113287760786
SPY_mom_12w,ETF,0.02340498544620816,0.0360331346173002,0.0783808601621215,-0.4764035945810428,0.3017189026846238,-1.6525492271355722,6.153709429419654
SPY_drawdown,ETF,-0.07620566596085829,-0.0278541590902954,0.10630150601344288,-0.5461305435220671,0.0,-1.8893299712280536,3.3154456803261825
TIP_log_ret,ETF,0.0006561508176775453,0.0011018519647396,0.008540227841865118,-0.0711872499558344,0.0427524523151333,-1.0499891130286172,10.393194422410946
TIP_vol_4w,ETF,0.007132851825089121,0.00603681800091,0.005031877168111582,0.0007593144601727,0.0486730721750282,3.1321489370385946,16.536770414387753
TIP_vol_12w,ETF,0.007584517972399969,0.0065087928721933,0.004122780229451795,0.0022419380904257,0.0296990230747155,2.426629355921174,7.595830555578151
TIP_mom_4w,ETF,0.0026203145927251007,0.0034822387212941,0.015874011057692754,-0.0977968806502273,0.0779108226762164,-0.6919107379599863,5.693998296822509
