,SPY,QQQ,IWM,EFA,EEM,AGG,LQD,TIP,GLD,VNQ
2014-01-03,0.0,0.0,0.0,0.0,0.0,0.39999999999999986,0.015613619631040616,0.39999999999999747,0.061682398785373946,0.1227039815835931
2014-01-10,4.391353072462408e-16,0.10239640668856988,2.5324939320478306e-17,9.95513850292883e-16,8.914448400945451e-17,0.18036282570720852,0.1593362305153821,0.39221821537972323,0.1656863217091148,7.308296528629405e-17
2014-01-17,0.0,7.799298416808733e-16,0.0,0.14380171905678082,2.302219895555167e-16,0.30263043210122437,0.0,0.4,0.15356784884199448,0.0
2014-01-24,0.0,1.810201782958895e-16,0.30858452865624886,0.05611571911787662,0.0,0.0,0.0,0.4,0.2352997522258752,0.0
2014-01-31,2.469773220864437e-16,0.0,0.0,0.34384728610990895,0.0,1.4669601523536387e-16,0.031055569235004705,0.39999999999999997,0.225097144655087,0.0
2014-02-07,9.994118736943001e-14,0.1941128708027877,6.926762883073002e-14,8.86980718609316e-14,1.5210851028767394e-12,0.39999999999858316,0.00588712919484494,0.4,5.765234634005868e-14,9.412683487673378e-14
2014-02-14,1.760959222263143e-16,0.0,0.042143472112191036,3.3815135725838134e-18,5.921189147689296e-17,0.4,0.1689075262775787,0.1046737378744505,0.2842752637357794,0.0
2014-02-21,0.0,0.20749882110984524,4.282467132790412e-16,0.0,3.0217425903743307e-17,0.25704813162333173,0.0,0.3787616487241264,0.15669139854269662,3.49942725022048e-16
2014-02-28,1.7045016578962716e-13,0.24880171888026878,1.6006230831257076e-13,1.5125964608740077e-13,7.901273762954298e-14,0.25218762283959983,1.195109299183004e-13,0.3999999999986601,0.09901065828064112,1.4979063740116795e-13
2014-03-07,3.323083517961937e-14,0.006514010148066961,9.470146980275033e-14,2.7876518923835043e-14,3.660076118657542e-14,0.399999999999753,0.13313666581230782,0.26961001366274406,0.11040111776616791,0.08033819261076786
2014-03-14,0.0,3.559826076827508e-15,0.0,0.0,0.36721621878691063,0.4,0.0,0.0,0.23278378121308013,0.0
2014-03-21,8.628381433375157e-15,1.1591166379497892e-14,8.347655527439652e-15,0.23045944218013983,8.540624489487824e-15,0.0,0.39999999999999086,0.36863256315711856,0.0009079946627122073,1.2591161145678564e-14
2014-03-28,5.600913394145292e-15,4.412572537185996e-15,3.752586029444697e-15,0.2364150756449679,5.364651352253952e-15,2.012605267608192e-15,0.2573622908173889,0.3999999999999802,0.10622263353763904,2.788400380003408e-15
2014-04-04,3.463603926937812e-15,0.14416247415878408,0.0,3.569180335824279e-15,2.0651471980537837e-15,0.3504387705876355,3.1247502999472647e-15,0.4,0.10539875525356594,3.481095858865657e-15
2014-04-11,6.752187555765089e-15,2.834776047656724e-15,5.8328071524781654e-15,6.3004590166206445e-15,0.2623758794692378,2.298792384814567e-14,0.33762412053075774,0.39999999999994856,4.851839247382212e-15,6.2125632386127955e-15
2014-04-18,3.5137798348285055e-16,0.08099910762984094,2.0105965777345742e-16,0.0,0.0,0.2792708239366182,0.0,0.2775659726441903,0.3621640957893525,0.0
2014-04-25,1.0146470144992023e-15,0.08640241470682002,1.0005899303712493e-15,1.7031756502912867e-15,0.09511717957797027,0.27834227026881875,1.2954758633388643e-16,0.3999999999999969,0.1401381354463892,1.0981114450109505e-15
2014-05-02,1.1039985389842683e-15,0.12135124965569412,1.2940663016934807e-15,1.0505674400378421e-15,7.967665772380285e-16,1.119169798141528e-15,0.38319700011474794,0.35050600322893927,0.14494574700061255,7.84527289860433e-16
2014-05-09,0.0,0.08980011880899691,0.00041371314260388824,0.0,2.0033986121645813e-17,0.22525028437264477,0.4,0.15620251391474194,0.12833336976101253,5.699141675111109e-17
2014-05-16,1.4265467883457643e-15,0.0,0.19988037833285546,1.2014924819434055e-15,2.460443409256696e-15,2.822792123427042e-15,0.20469877479342946,0.39999999999999813,0.19542084687370903,1.4281020558529995e-15
